en,ru,level,source
engine,двигатель,B1,User-provided list: b1-user.md
enormous,огромный,B1,User-provided list: b1-user.md
entertain,развлекать,B1,User-provided list: b1-user.md
entertainment,развлечение,B1,User-provided list: b1-user.md
environment,окружающая среда,B1,User-provided list: b1-user.md
equipment,оборудование,B1,User-provided list: b1-user.md
especially,особенно,B1,User-provided list: b1-user.md
essential,необходимый,B1,User-provided list: b1-user.md
eventually,в конце концов,B1,User-provided list: b1-user.md
examine,"осматривать, исследовать",B1,User-provided list: b1-user.md
exchange,обменивать,B1,User-provided list: b1-user.md
exist,существовать,B1,User-provided list: b1-user.md
expand,расширять,B1,User-provided list: b1-user.md
expect,ожидать,B1,User-provided list: b1-user.md
experience,"опыт, испытывать",B1,User-provided list: b1-user.md
experiment,эксперимент,B1,User-provided list: b1-user.md
expert,эксперт,B1,User-provided list: b1-user.md
explain,объяснять,B1,User-provided list: b1-user.md
explore,исследовать,B1,User-provided list: b1-user.md
express,выражать,B1,User-provided list: b1-user.md
expression,выражение,B1,User-provided list: b1-user.md
extra,дополнительный,B1,User-provided list: b1-user.md
extremely,чрезвычайно,B1,User-provided list: b1-user.md
face,сталкиваться,B1,User-provided list: b1-user.md
factor,фактор,B1,User-provided list: b1-user.md
fail,терпеть неудачу,B1,User-provided list: b1-user.md
fair,справедливый,B1,User-provided list: b1-user.md
familiar,знакомый,B1,User-provided list: b1-user.md
fashion,мода,B1,User-provided list: b1-user.md
feature,особенность,B1,User-provided list: b1-user.md
fee,плата,B1,User-provided list: b1-user.md
female,"женщина, женский",B1,User-provided list: b1-user.md
fiction,художественная литература,B1,User-provided list: b1-user.md
figure,"цифра, фигура",B1,User-provided list: b1-user.md
file,файл,B1,User-provided list: b1-user.md
financial,финансовый,B1,User-provided list: b1-user.md
firm,"фирма, твёрдый",B1,User-provided list: b1-user.md
fitness,физическая форма,B1,User-provided list: b1-user.md
foreign,иностранный,B1,User-provided list: b1-user.md
fortunately,к счастью,B1,User-provided list: b1-user.md
former,бывший,B1,User-provided list: b1-user.md
frighten,пугать,B1,User-provided list: b1-user.md
furniture,мебель,B1,User-provided list: b1-user.md
further,дальнейший,B1,User-provided list: b1-user.md
gain,"получать, приобретать",B1,User-provided list: b1-user.md
generous,щедрый,B1,User-provided list: b1-user.md
gentle,"мягкий, нежный",B1,User-provided list: b1-user.md
goal,цель,B1,User-provided list: b1-user.md
graduate,"выпускник, заканчивать университет",B1,User-provided list: b1-user.md
guilty,виноватый,B1,User-provided list: b1-user.md
habit,привычка,B1,User-provided list: b1-user.md
harm,"вред, вредить",B1,User-provided list: b1-user.md
hesitate,колебаться,B1,User-provided list: b1-user.md
honest,честный,B1,User-provided list: b1-user.md
horrible,ужасный,B1,User-provided list: b1-user.md
however,однако,B1,User-provided list: b1-user.md
ideal,идеальный,B1,User-provided list: b1-user.md
identify,"определять, узнавать",B1,User-provided list: b1-user.md
ignore,игнорировать,B1,User-provided list: b1-user.md
imagine,представлять,B1,User-provided list: b1-user.md
impact,влияние,B1,User-provided list: b1-user.md
improve,улучшать,B1,User-provided list: b1-user.md
include,включать,B1,User-provided list: b1-user.md
increase,увеличивать,B1,User-provided list: b1-user.md
independent,независимый,B1,User-provided list: b1-user.md
individual,отдельный человек,B1,User-provided list: b1-user.md
influence,"влияние, влиять",B1,User-provided list: b1-user.md
inform,информировать,B1,User-provided list: b1-user.md
injured,раненый,B1,User-provided list: b1-user.md
instead,вместо,B1,User-provided list: b1-user.md
intelligent,умный,B1,User-provided list: b1-user.md
intend,намереваться,B1,User-provided list: b1-user.md
international,международный,B1,User-provided list: b1-user.md
interview,интервью,B1,User-provided list: b1-user.md
introduce,представлять,B1,User-provided list: b1-user.md
invent,изобретать,B1,User-provided list: b1-user.md
invention,изобретение,B1,User-provided list: b1-user.md
invite,приглашать,B1,User-provided list: b1-user.md
involve,"включать, вовлекать",B1,User-provided list: b1-user.md
issue,"вопрос, проблема",B1,User-provided list: b1-user.md
item,"предмет, пункт",B1,User-provided list: b1-user.md
judge,"судья, судить",B1,User-provided list: b1-user.md
knowledge,знание,B1,User-provided list: b1-user.md
lack,"недостаток, испытывать недостаток",B1,User-provided list: b1-user.md
landscape,пейзаж,B1,User-provided list: b1-user.md
law,закон,B1,User-provided list: b1-user.md
legal,законный,B1,User-provided list: b1-user.md
lend,одалживать,B1,User-provided list: b1-user.md
lifestyle,образ жизни,B1,User-provided list: b1-user.md
limit,"ограничивать, предел",B1,User-provided list: b1-user.md
local,местный,B1,User-provided list: b1-user.md
locate,находить,B1,User-provided list: b1-user.md
location,местоположение,B1,User-provided list: b1-user.md
lonely,одинокий,B1,User-provided list: b1-user.md
luxury,роскошь,B1,User-provided list: b1-user.md
majority,большинство,B1,User-provided list: b1-user.md
manage,"справляться, управлять",B1,User-provided list: b1-user.md
market,рынок,B1,User-provided list: b1-user.md
material,материал,B1,User-provided list: b1-user.md
mature,зрелый,B1,User-provided list: b1-user.md
measure,"измерять, мера",B1,User-provided list: b1-user.md
mention,упоминать,B1,User-provided list: b1-user.md
method,метод,B1,User-provided list: b1-user.md
minor,незначительный,B1,User-provided list: b1-user.md
misunderstand,неправильно понимать,B1,User-provided list: b1-user.md
natural,естественный,B1,User-provided list: b1-user.md
necessary,необходимый,B1,User-provided list: b1-user.md
negative,отрицательный,B1,User-provided list: b1-user.md
nervous,нервный,B1,User-provided list: b1-user.md
notice,"замечать, объявление",B1,User-provided list: b1-user.md
occasion,"случай, повод",B1,User-provided list: b1-user.md
offer,"предлагать, предложение",B1,User-provided list: b1-user.md
ordinary,обычный,B1,User-provided list: b1-user.md
organize,организовывать,B1,User-provided list: b1-user.md
original,"оригинальный, первоначальный",B1,User-provided list: b1-user.md
outcome,результат,B1,User-provided list: b1-user.md
participate,участвовать,B1,User-provided list: b1-user.md
particular,"конкретный, особенный",B1,User-provided list: b1-user.md
patient,"терпеливый, пациент",B1,User-provided list: b1-user.md
pattern,"образец, шаблон",B1,User-provided list: b1-user.md
perform,"выполнять, выступать",B1,User-provided list: b1-user.md
permission,разрешение,B1,User-provided list: b1-user.md
personality,личность,B1,User-provided list: b1-user.md
persuade,убеждать,B1,User-provided list: b1-user.md
physical,физический,B1,User-provided list: b1-user.md
pleased,довольный,B1,User-provided list: b1-user.md
point,"точка, смысл",B1,User-provided list: b1-user.md
pollution,загрязнение,B1,User-provided list: b1-user.md
population,население,B1,User-provided list: b1-user.md
position,"положение, должность",B1,User-provided list: b1-user.md
possibility,возможность,B1,User-provided list: b1-user.md
powerful,могущественный,B1,User-provided list: b1-user.md
practical,практичный,B1,User-provided list: b1-user.md
predict,предсказывать,B1,User-provided list: b1-user.md
prefer,предпочитать,B1,User-provided list: b1-user.md
prepare,готовить,B1,User-provided list: b1-user.md
pressure,давление,B1,User-provided list: b1-user.md
prevent,предотвращать,B1,User-provided list: b1-user.md
previous,предыдущий,B1,User-provided list: b1-user.md
private,частный,B1,User-provided list: b1-user.md
process,процесс,B1,User-provided list: b1-user.md
produce,производить,B1,User-provided list: b1-user.md
product,"продукт, товар",B1,User-provided list: b1-user.md
professional,профессиональный,B1,User-provided list: b1-user.md
progress,прогресс,B1,User-provided list: b1-user.md
project,проект,B1,User-provided list: b1-user.md
promise,"обещать, обещание",B1,User-provided list: b1-user.md
provide,обеспечивать,B1,User-provided list: b1-user.md
public,общественный,B1,User-provided list: b1-user.md
publish,публиковать,B1,User-provided list: b1-user.md
purpose,цель,B1,User-provided list: b1-user.md
quality,качество,B1,User-provided list: b1-user.md
quantity,количество,B1,User-provided list: b1-user.md
realize,осознавать,B1,User-provided list: b1-user.md
reason,причина,B1,User-provided list: b1-user.md
receive,получать,B1,User-provided list: b1-user.md
recent,недавний,B1,User-provided list: b1-user.md
recognize,узнавать,B1,User-provided list: b1-user.md
recommend,рекомендовать,B1,User-provided list: b1-user.md
reduce,уменьшать,B1,User-provided list: b1-user.md
refer,"ссылаться, относиться",B1,User-provided list: b1-user.md
refuse,отказываться,B1,User-provided list: b1-user.md
region,регион,B1,User-provided list: b1-user.md
regret,сожалеть,B1,User-provided list: b1-user.md
relationship,отношения,B1,User-provided list: b1-user.md
remain,оставаться,B1,User-provided list: b1-user.md
remove,удалять,B1,User-provided list: b1-user.md
repair,ремонтировать,B1,User-provided list: b1-user.md
replace,заменять,B1,User-provided list: b1-user.md
reply,отвечать,B1,User-provided list: b1-user.md
report,"сообщать, отчёт",B1,User-provided list: b1-user.md
request,"просьба, просить",B1,User-provided list: b1-user.md
require,требовать,B1,User-provided list: b1-user.md
research,исследование,B1,User-provided list: b1-user.md
respond,"отвечать, реагировать",B1,User-provided list: b1-user.md
responsibility,ответственность,B1,User-provided list: b1-user.md
result,результат,B1,User-provided list: b1-user.md
review,"обзор, повторять",B1,User-provided list: b1-user.md
risk,"риск, рисковать",B1,User-provided list: b1-user.md
routine,распорядок,B1,User-provided list: b1-user.md
rubbish,мусор,B1,User-provided list: b1-user.md
salary,зарплата,B1,User-provided list: b1-user.md
satisfy,удовлетворять,B1,User-provided list: b1-user.md
schedule,расписание,B1,User-provided list: b1-user.md
secret,секрет,B1,User-provided list: b1-user.md
separate,"отдельный, разделять",B1,User-provided list: b1-user.md
serious,серьёзный,B1,User-provided list: b1-user.md
several,несколько,B1,User-provided list: b1-user.md
similar,похожий,B1,User-provided list: b1-user.md
simply,просто,B1,User-provided list: b1-user.md
skill,навык,B1,User-provided list: b1-user.md
society,общество,B1,User-provided list: b1-user.md
solution,решение,B1,User-provided list: b1-user.md
source,источник,B1,User-provided list: b1-user.md
specific,конкретный,B1,User-provided list: b1-user.md
speech,речь,B1,User-provided list: b1-user.md
standard,стандарт,B1,User-provided list: b1-user.md
suggest,предлагать,B1,User-provided list: b1-user.md
suitable,подходящий,B1,User-provided list: b1-user.md
support,поддерживать,B1,User-provided list: b1-user.md
suppose,предполагать,B1,User-provided list: b1-user.md
surprise,"удивлять, сюрприз",B1,User-provided list: b1-user.md
survive,выживать,B1,User-provided list: b1-user.md
temperature,температура,B1,User-provided list: b1-user.md
temporary,временный,B1,User-provided list: b1-user.md
term,"срок, термин",B1,User-provided list: b1-user.md
text,текст,B1,User-provided list: b1-user.md
therefore,поэтому,B1,User-provided list: b1-user.md
though,хотя,B1,User-provided list: b1-user.md
threaten,угрожать,B1,User-provided list: b1-user.md
traditional,традиционный,B1,User-provided list: b1-user.md
treatment,"лечение, обращение",B1,User-provided list: b1-user.md
typical,типичный,B1,User-provided list: b1-user.md
unemployed,безработный,B1,User-provided list: b1-user.md
unfortunately,к сожалению,B1,User-provided list: b1-user.md
union,союз,B1,User-provided list: b1-user.md
unless,если не,B1,User-provided list: b1-user.md
unusual,необычный,B1,User-provided list: b1-user.md
update,обновлять,B1,User-provided list: b1-user.md
upload,загружать,B1,User-provided list: b1-user.md
useful,полезный,B1,User-provided list: b1-user.md
variety,разнообразие,B1,User-provided list: b1-user.md
victim,жертва,B1,User-provided list: b1-user.md
view,"вид, мнение",B1,User-provided list: b1-user.md
waste,"отходы, тратить впустую",B1,User-provided list: b1-user.md
wealth,богатство,B1,User-provided list: b1-user.md
whole,весь,B1,User-provided list: b1-user.md
wild,дикий,B1,User-provided list: b1-user.md
willing,"готовый, желающий",B1,User-provided list: b1-user.md
wonder,"интересоваться, удивляться",B1,User-provided list: b1-user.md
worried,обеспокоенный,B1,User-provided list: b1-user.md
worth,"стоящий, ценность",B1,User-provided list: b1-user.md
complaint,жалоба,B1,User-provided list: b1-user.md
concentration,концентрация,B1,User-provided list: b1-user.md
confidence,уверенность,B1,User-provided list: b1-user.md
connection,связь,B1,User-provided list: b1-user.md
conversation,разговор,B1,User-provided list: b1-user.md
description,описание,B1,User-provided list: b1-user.md
difference,разница,B1,User-provided list: b1-user.md
direction,направление,B1,User-provided list: b1-user.md
discussion,обсуждение,B1,User-provided list: b1-user.md
explanation,объяснение,B1,User-provided list: b1-user.md
information,информация,B1,User-provided list: b1-user.md
invitation,приглашение,B1,User-provided list: b1-user.md
improvement,улучшение,B1,User-provided list: b1-user.md
movement,движение,B1,User-provided list: b1-user.md
preparation,подготовка,B1,User-provided list: b1-user.md
